patient_pair_id	paper_pair_number	sample_name	run_accession	tissue_role	ffpe_status	public_negative_control_run	input_reads	filtered_reads	denoised_forward_reads	denoised_reverse_reads	merged_reads_min_overlap12	merged_reads_min_overlap8	nonchim_reads_min_overlap12	prokaryotic_reads_min_overlap12	prokaryotic_reads_plausible_v3v4_length	prokaryotic_reads_min_overlap8	prokaryotic_reads_forward_only	filter_retention	main_final_retention	plausible_v3v4_length_read_fraction	overlap8_final_retention	forward_only_final_retention	primer_handling	anchored_primer_matches_all_fastq	anchored_primer_fraction_all_fastq	primer_second_trim_review_threshold	plausible_v3v4_length_range	main_filter	blank_control_status
FFPE_pair_01	1	NS1	SRR16095408	paired_non_tumor	FFPE tissue block	not_identified	188327	161046	157454	160184	152595	154906	145460	10807	5040	13057	8422	0.855140261353922	0.0573842306201447	0.466364393448691	0.0693315350427714	0.0447200879321606	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_01	1	TS1	SRR16095402	tumor	FFPE tissue block	not_identified	188968	160611	158458	159451	153651	154443	144680	10703	2557	11400	7632	0.849937555564963	0.056639219338724	0.238904979912174	0.060327674526904	0.04038779052538	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_03	3	NS3	SRR16095396	paired_non_tumor	FFPE tissue block	not_identified	373397	268960	261137	263763	248660	251016	174073	73338	4636	75395	45396	0.720305733575792	0.19640757692215	0.0632141590989664	0.2019164588896	0.121575695573344	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_03	3	TS3	SRR16095391	tumor	FFPE tissue block	not_identified	88489	72354	71305	71595	66333	69965	57642	16612	5291	19606	10494	0.817660952208749	0.187729548305439	0.318504695400915	0.221564262224683	0.118591011312141	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_05	5	NS5	SRR16095395	paired_non_tumor	FFPE tissue block	not_identified	265557	194072	188113	189993	177782	179666	127082	43119	1464	44787	24174	0.730811087638435	0.162371920152736	0.0339525499199889	0.16865305753567	0.0910313040138275	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_05	5	TS5	SRR16095380	tumor	FFPE tissue block	not_identified	93767	83417	81921	83149	80554	80947	79103	3297	1372	3676	1934	0.88962001557051	0.03516162402551	0.416135881104034	0.0392035577548605	0.0206255932257617	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_07	7	NS7	SRR16095394	paired_non_tumor	FFPE tissue block	not_identified	275577	47416	42065	43476	38336	39965	33531	8944	923	10301	7892	0.172060803332644	0.0324555387423479	0.103197674418605	0.0373797523015346	0.0286380938902739	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_07	7	TS7	SRR16095369	tumor	FFPE tissue block	not_identified	168688	135073	133439	133976	124387	131338	107570	26485	16970	32758	26951	0.800726785544911	0.157005833254292	0.640740041532943	0.194192829365456	0.15976832969743	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_09	9	NS9	SRR16095393	paired_non_tumor	FFPE tissue block	not_identified	178298	38621	34525	35869	32180	33058	24904	9899	2261	10689	7180	0.216609272117466	0.0555194113226172	0.228406909788868	0.0599501957397167	0.0402696609047774	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_09	9	TS9	SRR16095407	tumor	FFPE tissue block	not_identified	69901	56554	55379	55615	49352	53981	41928	9575	4444	13899	10680	0.809058525629104	0.136979442354187	0.464125326370757	0.198838357105049	0.152787513769474	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_11	11	NS11	SRR16095392	paired_non_tumor	FFPE tissue block	not_identified	410946	331269	325071	326771	309386	312014	198597	42839	2820	45325	31528	0.806113211954856	0.104244839954641	0.0658278671304186	0.110294296574246	0.0767205423583634	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
FFPE_pair_11	11	TS11	SRR16095406	tumor	FFPE tissue block	not_identified	138051	111540	110019	110493	104258	108019	88614	22282	11442	25753	20913	0.807962274811483	0.161404118767702	0.513508661700027	0.186547000746101	0.151487493752309	no_second_primer_cut_source_reads_already_trimmed_likely	1240	8.11043269812512e-05	0.001	380-480 nt	truncLen=0/0;maxN=0;maxEE=2/2;truncQ=2;minLen=100	no_public_negative_control_or_extraction_blank
